date,expiration,contractLength,type,strike,bid,ask,midpoint,blackScholesPrice,stockPriceAtExpiration,profitable,return
2018-06-01,2018-06-15,14,call,225.0,48.69,48.89,48.79,47.84109334001002,276.6,True,5.759376921500356
2018-06-01,2018-06-15,14,call,226.0,47.69,47.9,47.795,46.84300931041011,276.6,True,5.868814729574267
2018-06-01,2018-06-15,14,call,227.0,46.68,46.9,46.79,45.844925280810145,276.6,True,6.005556742893831
2018-06-01,2018-06-15,14,call,228.0,45.68,45.9,45.79,44.846841251210236,276.6,True,6.136711072286577
2018-06-01,2018-06-15,14,call,229.0,44.68,44.9,44.79,43.848757221610356,276.6,True,6.273721812904719
2018-06-01,2018-06-15,14,call,230.0,43.7,43.9,43.8,42.850673192010845,276.6,True,6.392694063927
2018-06-01,2018-06-15,14,call,231.0,42.7,42.91,42.805,41.852589162412386,276.6,True,6.529611026749266
2018-06-01,2018-06-15,14,call,232.0,41.69,41.91,41.8,40.85450513281782,276.6,True,6.698564593301497
2018-06-01,2018-06-15,14,call,233.0,40.69,40.91,40.8,39.85642110323613,276.6,True,6.862745098039278
2018-06-01,2018-06-15,14,call,234.0,39.7,39.91,39.805,38.85833707369571,276.6,True,7.021730938324389
2018-06-01,2018-06-15,14,call,235.0,38.71,38.91,38.81,37.86025304428361,276.6,True,7.188868848235043
2018-06-01,2018-06-15,14,call,236.0,37.71,37.92,37.815,36.862169015255546,276.6,True,7.364802327118934
2018-06-01,2018-06-15,14,call,237.0,36.7,36.92,36.81,35.86408498733746,276.6,True,7.579462102689543
2018-06-01,2018-06-15,14,call,238.0,35.72,35.92,35.82,34.866000962516836,276.6,True,7.761027359017371
2018-06-01,2018-06-15,14,call,239.0,34.72,34.92,34.82,33.86791694604679,276.6,True,7.983917288914482
2018-06-01,2018-06-15,14,call,240.0,33.72,33.94,33.83,32.869832951334075,276.6,True,8.187998817617572
2018-06-01,2018-06-15,14,call,241.0,32.71,32.93,32.82,31.871749011429955,276.6,True,8.47044485070086
2018-06-01,2018-06-15,14,call,242.0,31.73,31.93,31.83,30.873665205068647,276.6,True,8.70248193528126
2018-06-01,2018-06-15,14,call,243.0,30.73,30.95,30.84,29.875581713548883,276.6,True,8.949416342412524
2018-06-01,2018-06-15,14,call,244.0,29.73,29.94,29.835,28.877498940537578,276.6,True,9.26763867940346
2018-06-01,2018-06-15,14,call,245.0,28.74,28.95,28.845,27.879417755363846,276.6,True,9.551048708615093
2018-06-01,2018-06-15,14,call,246.0,27.73,27.95,27.84,26.881339969403143,276.6,True,9.913793103448358
2018-06-01,2018-06-15,14,call,247.0,26.75,26.96,26.855,25.88326923540484,276.6,True,10.221560230869567
2018-06-01,2018-06-15,14,call,247.5,26.25,26.47,26.36,25.38423853821743,276.6,True,10.394537177541817
2018-06-01,2018-06-15,14,call,248.0,25.74,25.96,25.85,24.885212684137485,276.6,True,10.638297872340507
2018-06-01,2018-06-15,14,call,249.0,24.75,24.97,24.86,23.887183794938323,276.6,True,11.02172164119076
2018-06-01,2018-06-15,14,call,250.0,23.77,23.97,23.869999999999997,22.8892072463415,276.6,True,11.436950146627673
2018-06-01,2018-06-15,14,call,251.0,22.76,22.98,22.87,21.891326808997576,276.6,True,11.937035417577707
2018-06-01,2018-06-15,14,call,252.0,21.77,21.98,21.875,20.893617704727262,276.6,True,12.45714285714296
2018-06-01,2018-06-15,14,call,252.5,21.27,21.49,21.38,20.39486392724544,276.6,True,12.72217025257261
2018-06-01,2018-06-15,14,call,253.0,20.79,20.99,20.89,19.896205211606315,276.6,True,12.97271421732897
2018-06-01,2018-06-15,14,call,254.0,19.8,20.01,19.905,18.899291555637603,276.6,True,13.539311730721032
2018-06-01,2018-06-15,14,call,255.0,18.81,19.01,18.91,17.903193164780873,276.6,True,14.225277630883252
2018-06-01,2018-06-15,14,call,255.5,18.31,18.52,18.415,17.40559168203754,276.6,True,14.58050502307914
2018-06-01,2018-06-15,14,call,256.0,17.81,18.01,17.91,16.908390011212447,276.6,True,15.019542155220671
